[2021-12-11 20:28:30.783] [exthost] [info] Extension host with pid 2255 started
[2021-12-11 20:28:30.783] [exthost] [info] Skipping acquiring lock for /home/meatshifter/.config/Code/User/workspaceStorage/cb4c65ee2a43107eee40c54ec8ff0138.
[2021-12-11 20:28:34.406] [exthost] [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication, startup: false, activationEvent: 'onAuthenticationRequest:microsoft'
[2021-12-11 20:28:34.803] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: true, activationEvent: '*'
[2021-12-11 20:28:34.940] [exthost] [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.github
[2021-12-11 20:28:35.048] [exthost] [info] ExtensionService#_doActivateExtension formulahendry.auto-close-tag, startup: true, activationEvent: '*'
[2021-12-11 20:28:35.200] [exthost] [info] ExtensionService#_doActivateExtension formulahendry.auto-rename-tag, startup: true, activationEvent: '*'
[2021-12-11 20:28:42.696] [exthost] [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
[2021-12-11 20:28:46.516] [exthost] [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
[2021-12-11 20:28:47.183] [exthost] [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
[2021-12-11 20:28:47.433] [exthost] [info] ExtensionService#_doActivateExtension darkriszty.markdown-table-prettify, startup: false, activationEvent: 'onStartupFinished'
[2021-12-11 20:28:52.454] [exthost] [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
[2021-12-11 20:29:12.742] [exthost] [info] ExtensionService#_doActivateExtension fcrespo82.markdown-table-formatter, startup: false, activationEvent: 'onStartupFinished'
[2021-12-11 20:29:13.300] [exthost] [info] ExtensionService#_doActivateExtension formulahendry.code-runner, startup: false, activationEvent: 'onStartupFinished'
[2021-12-11 20:29:14.746] [exthost] [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
[2021-12-11 20:29:15.096] [exthost] [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
